,dates,ETHUSD_close_price,BZUSD_close_price
0,2024-07-28 21:30:00,3293.84,80.48
1,2024-07-28 21:30:00,3293.84,80.3
2,2024-07-28 21:30:00,3293.84,80.3
3,2024-07-28 21:00:00,3289.37,80.29
4,2024-07-28 21:00:00,3289.37,80.29
5,2024-07-28 21:00:00,3289.37,80.48
6,2024-07-28 21:00:00,3289.37,80.48
7,2024-07-28 21:00:00,3289.37,80.39
8,2024-07-28 21:00:00,3289.37,80.51
9,2024-07-28 20:30:00,3295.1,80.63
10,2024-07-28 20:30:00,3295.1,80.63
11,2024-07-28 20:30:00,3295.1,80.62
12,2024-07-28 20:00:00,3296.33,80.47
13,2024-07-28 20:00:00,3296.33,80.47
14,2024-07-28 20:00:00,3296.33,80.63
15,2024-07-28 20:00:00,3296.33,80.63
16,2024-07-28 20:00:00,3296.33,80.47
17,2024-07-28 20:00:00,3296.33,80.46
18,2024-07-28 19:30:00,3271.5,80.5
19,2024-07-28 19:30:00,3271.5,80.5
20,2024-07-28 19:30:00,3271.5,80.54
21,2024-07-28 19:30:00,3271.5,80.51
22,2024-07-28 19:00:00,3270.11,80.53
23,2024-07-28 19:00:00,3270.11,80.53
24,2024-07-28 19:00:00,3270.11,80.5
25,2024-07-28 19:00:00,3270.11,80.5
26,2024-07-28 19:00:00,3270.11,80.58
27,2024-07-28 18:30:00,3259.74,80.61
28,2024-07-28 18:30:00,3259.74,80.61
29,2024-07-28 18:30:00,3259.74,80.61
30,2024-07-28 18:30:00,3259.74,80.66
31,2024-07-28 18:00:00,3267.57,80.68
32,2024-07-28 18:00:00,3267.57,80.68
33,2024-07-28 18:00:00,3267.57,80.61
34,2024-07-28 18:00:00,3267.57,80.61
35,2024-07-28 18:00:00,3267.57,80.63
36,2024-07-28 18:00:00,3267.57,80.58
37,2024-07-26 03:00:00,3275.58,82.34
38,2024-07-26 03:00:00,3275.58,82.34
39,2024-07-26 03:00:00,3275.58,82.31
40,2024-07-26 03:00:00,3275.58,82.31
41,2024-07-26 03:00:00,3275.58,82.35
42,2024-07-26 03:00:00,3275.58,82.49
43,2024-07-26 02:30:00,3265.74,82.55
44,2024-07-26 02:30:00,3265.74,82.55
45,2024-07-26 02:30:00,3265.74,82.48
46,2024-07-26 02:30:00,3265.74,82.45
47,2024-07-26 02:00:00,3262.51,82.5
48,2024-07-26 02:00:00,3262.51,82.5
49,2024-07-26 02:00:00,3262.51,82.55
50,2024-07-26 02:00:00,3262.51,82.55
51,2024-07-26 02:00:00,3262.51,82.41
52,2024-07-26 02:00:00,3262.51,82.42
53,2024-07-26 01:30:00,3268.6,82.44
54,2024-07-26 01:30:00,3268.6,82.44
55,2024-07-26 01:30:00,3268.6,82.46
56,2024-07-26 01:30:00,3268.6,82.48
57,2024-07-26 01:00:00,3253.95,82.47
58,2024-07-26 01:00:00,3253.95,82.47
59,2024-07-26 01:00:00,3253.95,82.44
60,2024-07-26 01:00:00,3253.95,82.44
61,2024-07-26 01:00:00,3253.95,82.51
62,2024-07-26 01:00:00,3253.95,82.52
63,2024-07-26 00:30:00,3254.07,82.51
64,2024-07-26 00:30:00,3254.07,82.51
65,2024-07-26 00:30:00,3254.07,82.52
66,2024-07-26 00:30:00,3254.07,82.49
67,2024-07-25 03:00:00,3170.59,81.02
68,2024-07-25 03:00:00,3170.59,81.02
69,2024-07-25 03:00:00,3170.59,81.28
70,2024-07-25 03:00:00,3170.59,81.28
71,2024-07-25 03:00:00,3170.59,81.13
72,2024-07-25 03:00:00,3170.59,81.18
73,2024-07-25 02:30:00,3169.92,81.21
74,2024-07-25 02:30:00,3169.92,81.21
75,2024-07-25 02:30:00,3169.92,81.12
76,2024-07-25 02:30:00,3169.92,81.06
77,2024-07-25 02:00:00,3176.53,81.12
78,2024-07-25 02:00:00,3176.53,81.12
79,2024-07-25 02:00:00,3176.53,81.21
80,2024-07-25 02:00:00,3176.53,81.21
81,2024-07-25 02:00:00,3176.53,81.12
82,2024-07-25 02:00:00,3176.53,81.09
83,2024-07-25 01:30:00,3182.31,81.12
84,2024-07-25 01:30:00,3182.31,81.12
85,2024-07-25 01:30:00,3182.31,81.02
86,2024-07-25 01:30:00,3182.31,80.99
87,2024-07-25 01:00:00,3181.89,81.07
88,2024-07-25 01:00:00,3181.89,81.07
89,2024-07-25 01:00:00,3181.89,81.12
90,2024-07-25 01:00:00,3181.89,81.12
91,2024-07-25 01:00:00,3181.89,81.07
92,2024-07-25 00:30:00,3182.55,81.09
93,2024-07-25 00:30:00,3182.55,81.09
94,2024-07-25 00:30:00,3182.55,81.06
95,2024-07-24 03:00:00,3441.01,81.39
96,2024-07-24 03:00:00,3441.01,81.39
97,2024-07-24 03:00:00,3441.01,81.41
98,2024-07-24 03:00:00,3441.01,81.41
99,2024-07-24 03:00:00,3441.01,81.28
100,2024-07-24 03:00:00,3441.01,81.19
101,2024-07-24 02:30:00,3440.8,81.39
102,2024-07-24 02:30:00,3440.8,81.39
103,2024-07-24 02:30:00,3440.8,81.46
104,2024-07-24 02:30:00,3440.8,81.41
105,2024-07-24 02:00:00,3443.21,81.44
106,2024-07-24 02:00:00,3443.21,81.44
107,2024-07-24 02:00:00,3443.21,81.39
108,2024-07-24 02:00:00,3443.21,81.39
109,2024-07-24 02:00:00,3443.21,81.39
110,2024-07-24 02:00:00,3443.21,81.24
111,2024-07-24 01:30:00,3442.11,81.23
112,2024-07-24 01:30:00,3442.11,81.23
113,2024-07-24 01:30:00,3442.11,81.2
114,2024-07-24 01:30:00,3442.11,81.22
115,2024-07-24 01:00:00,3434.54,81.24
116,2024-07-24 01:00:00,3434.54,81.24
117,2024-07-24 01:00:00,3434.54,81.23
118,2024-07-24 01:00:00,3434.54,81.23
119,2024-07-24 01:00:00,3434.54,81.22
120,2024-07-24 01:00:00,3434.54,81.19
121,2024-07-24 00:30:00,3440.73,81.18
122,2024-07-24 00:30:00,3440.73,81.18
123,2024-07-24 00:30:00,3440.73,81.19
124,2024-07-24 00:30:00,3440.73,81.13
125,2024-07-23 02:30:00,3447.08,82.45
126,2024-07-23 02:30:00,3447.08,82.45
127,2024-07-23 02:30:00,3447.08,82.49
128,2024-07-23 02:30:00,3447.08,82.44
129,2024-07-23 02:00:00,3450.87,82.44
130,2024-07-23 02:00:00,3450.87,82.44
131,2024-07-23 02:00:00,3450.87,82.45
132,2024-07-23 02:00:00,3450.87,82.45
133,2024-07-23 02:00:00,3450.87,82.37
134,2024-07-23 02:00:00,3450.87,82.35
135,2024-07-23 01:30:00,3442.32,82.33
136,2024-07-23 01:30:00,3442.32,82.33
137,2024-07-23 01:30:00,3442.32,82.33
138,2024-07-23 01:30:00,3442.32,82.41
139,2024-07-23 01:00:00,3436.44,82.4
140,2024-07-23 01:00:00,3436.44,82.4
141,2024-07-23 01:00:00,3436.44,82.33
142,2024-07-23 01:00:00,3436.44,82.33
143,2024-07-23 01:00:00,3436.44,82.4
144,2024-07-23 01:00:00,3436.44,82.39
145,2024-07-23 00:30:00,3455.75,82.41
146,2024-07-23 00:30:00,3455.75,82.41
147,2024-07-23 00:30:00,3455.75,82.43
148,2024-07-23 00:30:00,3455.75,82.42
149,2024-07-23 00:00:00,3472.27,82.44
150,2024-07-23 00:00:00,3472.27,82.44
151,2024-07-23 00:00:00,3472.27,82.41
152,2024-07-23 00:00:00,3472.27,82.41
153,2024-07-23 00:00:00,3472.27,82.45
154,2024-07-23 00:00:00,3472.27,82.45
155,2024-07-22 23:30:00,3475.65,82.44
156,2024-07-22 23:30:00,3475.65,82.44
157,2024-07-22 23:30:00,3475.65,82.41
158,2024-07-22 23:30:00,3475.65,82.42
159,2024-07-22 23:00:00,3477.02,82.43
160,2024-07-22 23:00:00,3477.02,82.43
161,2024-07-22 23:00:00,3477.02,82.44
162,2024-07-22 23:00:00,3477.02,82.44
163,2024-07-22 23:00:00,3477.02,82.46
164,2024-07-22 23:00:00,3477.02,82.47
165,2024-07-22 22:30:00,3487.56,82.47
166,2024-07-22 22:30:00,3487.56,82.47
167,2024-07-22 22:30:00,3487.56,82.51
168,2024-07-22 22:30:00,3487.56,82.55
169,2024-07-22 22:00:00,3474.8,82.55
170,2024-07-22 22:00:00,3474.8,82.55
171,2024-07-22 22:00:00,3474.8,82.47
172,2024-07-22 22:00:00,3474.8,82.47
173,2024-07-22 22:00:00,3474.8,82.54
174,2024-07-22 22:00:00,3474.8,82.55
175,2024-07-22 21:30:00,3481.05,82.56
176,2024-07-22 21:30:00,3481.05,82.56
177,2024-07-22 21:30:00,3481.05,82.52
178,2024-07-22 21:30:00,3481.05,82.6
179,2024-07-22 21:00:00,3474.54,82.59
180,2024-07-22 21:00:00,3474.54,82.59
181,2024-07-22 21:00:00,3474.54,82.56
182,2024-07-22 21:00:00,3474.54,82.56
183,2024-07-22 21:00:00,3474.54,82.36
184,2024-07-22 21:00:00,3474.54,82.31
185,2024-07-22 20:30:00,3469.89,82.29
